Flota,Ano,CONCEPTO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SET,OCT,NOV,DIC,PROMEDIO
Artesanal,1990,PRIMERA GDE.,168.91,201.76,208.93,210.19,197.6,207.95,136.37,213.81,201.45,191.44,256.01,183.29,198.14
Artesanal,1990,PRIMERA PEG.,179.57,182.21,184.23,163.05,150.6,140.81,135.69,159.29,168.53,150.98,237.95,204.14,171.42
Artesanal,1990,CLASIFICADO,50.03,63.43,73.55,67.19,71.78,64.02,67.23,73.98,68.68,69.14,80.02,81.13,69.18
Artesanal,1990,CHATARRA,34.25,29.9,38.4,43,34.04,32.14,40.81,43.57,46.07,39.33,47.07,48.88,39.79
Artesanal,1990,AGRIA COLA,117.36,117.22,126.09,116.33,122.56,109.24,111.28,112.92,137.25,118.65,137.7,148.5,122.93
Artesanal,1990,CABRILLA,216.74,209.3,229.1,214.43,170.89,152.61,171.74,184.03,213.36,178.53,257.42,291.48,207.47
Artesanal,1990,PARGO SEDA,193.51,229.39,282.36,222.12,150.15,145.39,147.31,152.66,177.43,154.59,252.38,224.15,194.29
Artesanal,1990,DORADO,57.83,76.71,73.92,103.17,110.25,124.71,218.04,271.72,200.8,185.1,149.6,189.65,146.79
Artesanal,1990,FILET,120.1,,90,150,138.8,140,170.43,162.7,133.49,149.08,145.51,186.6,144.25
Artesanal,1990,PEZ ESPADA,80,458.53,301.34,237.62,336,442.87,418.43,445.49,480.7,424.7,661.28,213.28,375.02
Artesanal,1990,TOT. PESCADO EVIS,,,,,,,,,,0,,,0
Artesanal,1990,SARDINA,23.72,58.25,58.25,24.7,34.01,20.8,32.25,30.69,23.32,28.21,21.57,21.83,31.47
Artesanal,1990,ATUN,139.4,220,262,239.48,212.35,238.07,231.46,272.74,233.51,237.63,186.54,272,228.76
Artesanal,1990,TOT. PESCADO ENTERO,,,,,,,,,,,,,
Artesanal,1990,CAZON,69.4,66.28,79.8,81.45,62.6,54.4,71.84,67.56,86.19,68.52,92.93,78.87,73.32
Artesanal,1990,POSTA,72.61,68.8,86.99,80.76,63.58,79.11,73.12,103.22,142.25,92.26,106.76,93.43,88.57
Artesanal,1990,ALETA,695.58,112,398.1,253.08,1338.57,1060.89,2131,881,997.6,1281.81,757,251,846.47
Artesanal,1990,MACO,79.76,64.97,86.13,102.11,92.35,102.47,101.02,100.13,105.64,100.32,104.45,78.03,93.12
Artesanal,1990,TOT. TIBURON,,,,,,,,,,,,,
Artesanal,1990,BUCHE,60,89.58,102.34,98.86,79.85,87.38,95.33,103.14,110.43,95.23,116.38,118.6,96.43
Artesanal,1990,TOT. OTROS,,,,,,,,,,,,,
Artesanal,1990,TOT. PESCADO,,,,,,,,,,,,,
Artesanal,1990,CAMARON BLCO,842.9,817.31,850.02,909.78,1129.55,1000,1000,950,1025.17,1020.94,971.11,1035.23,962.67
Artesanal,1990,CAMARON CAFE,,,387.02,500.57,500,165,,,380,348.33,,,380.15
Artesanal,1990,CAMARON ROSADO,,,400,660,,178.7,,,,178.7,,,354.35
Artesanal,1990,CAMARON FIDEL,,,,,,,,,,,,,
Artesanal,1990,CAMARON CAMELLO,,,,,,,,,,,,,
Artesanal,1990,CAMARON REAL,739.41,546.54,,,,,,,,,,,642.98
Artesanal,1990,CAMARON TITI,327.42,148.36,250.3,366.11,,101.98,,343.57,1050,498.52,,,385.78
Artesanal,1990,TOT. CAMARON,,,,,,,,,,,,,
Artesanal,1990,LANGOSTA,,,,,,,,,,,,,
Artesanal,1990,LANG. CORRIENTE,955.8,955,700,579.12,1016.7,1104.92,960.11,1192.85,1201.87,1095.29,1000,1155.17,993.07
Artesanal,1990,TOT. LANGOSTA,,,,,,,,,,,,,
Artesanal,1990,LANGOSTA CARIBE,499.56,509.56,542.51,623.89,500,975.5,,541.01,576.59,648.28,675.81,761,623.06
Artesanal,1990,TOT. LANG. CARIBE,,,,,,,,,,,,,
Artesanal,1990,TOTAL LANGOSTA,,,,,,,,,,,,,
Artesanal,1990,CALAMAR,34.9,43.22,52.14,41.55,33.25,36.98,37.64,35.93,38.07,36.37,40,39.82,39.16
Artesanal,1990,PULPO,177.77,221.51,253,265.58,231.65,192.28,159.36,150.06,174.43,181.56,309.66,186.82,208.64
Artesanal,1990,PIANGUAS,166.36,236.14,124.65,124.65,11.37,50,258.78,267,259.24,169.28,265.69,266.51,183.31
Artesanal,1990,CAMBUTE,0,0,0,0,0,0,0,0,0,0,0,0,0
Artesanal,1990,TOT. MOLUSCOS,,,,,,,,,,,,,
Artesanal,1990,TOTAL MARISCOS,,,,,,,,,,,,,
Artesanal,1990,TORTUGA,0,0,0,0,0,36.25,36.25,36.25,0,0,0,0,9.06
Industrial,1990,ROBALO,115.2,107,113,120,117.5,101,,105,128,146.15,163.35,103.15,119.94
Industrial,1990,P. PEQ.,64.85,63.95,53.9,61.9,66.7,87.45,63.2,82.35,106,103.5,105.2,72.75,77.65
Industrial,1990,PARGO,115,160,124,86.3,104,110,108.4,115.75,112.95,128.8,127.6,92,115.4
Industrial,1990,P. COLIAM,,,,,,103,,185,,,,110,132.67
Industrial,1990,CLASIF,58.25,65,86.7,85.4,85.5,96,95.5,94.7,86.15,99,109.1,100.5,88.48
Industrial,1990,CONGRIO,69.7,80,150.95,109.65,101,105.85,117.95,106,121,87.3,35.16,59.3,95.32
Industrial,1990,LENGUADO,53,23,23.15,23.25,100,23.6,,23.15,23.15,23,23.1,23,32.85
Industrial,1990,CABRILLA,116.5,148,110.95,98.95,103,106.9,131.5,129.2,100.25,125.75,178.75,195.6,128.78
Industrial,1990,CHATARRA,27,31,21.51,32,37.65,43.95,48.3,29.13,48.6,52,54.45,41.5,38.92
Industrial,1990,AGRIA,142.75,89,72.8,108,172.45,136.9,118.4,95.75,111,150,125.3,137.4,121.65
Industrial,1990,POSTA,52.95,49.7,55.5,43.6,60,48.45,62.9,66.15,60,67,74,31.5,55.98
Industrial,1990,MACO,,,,,,,,,116,104.85,99.9,87.5,102.06
Industrial,1990,CORNUDA,40,,,,,,,,,,,,40
Industrial,1990,ALETA,,,,,,1928,,,,,,1240,1584
Industrial,1990,CAZON,60.2,66,66,66.23,72.4,63.3,61.5,56.4,71.6,74,85.5,73.5,68.05
Industrial,1990,MARLIN BLC,,,,,,,,,122,,146.5,120.4,129.63
Industrial,1990,MARLIN ROS,,,,,,,,,,,95,159.7,127.35
Industrial,1990,VELA,,,,60,25,23,,30,,51.2,40,30,37.03
Industrial,1990,DORADO,85,,,85.6,60,185,244,379,195,365,100,161.1,185.97
Industrial,1990,P. GRANAE,195,230,,110,150,117.5,,,,213.75,202.5,,174.11
Industrial,1990,MACARELA,,,,,,,,,,,90,,90
Industrial,1990,CANAADO,,,,,,,,,,,100,,100
Industrial,1990,JUREL,,,,,,37,36.25,,,40,25.3,,34.64
Industrial,1990,ANGUILA,,,,,,,,,,,103.5,,103.5
Industrial,1990,POSTA ROSA,,,,,,40,,,,,40,,40
Industrial,1990,P. MANCHA,,,,,,105.35,,,,,247,,176.18
Industrial,1990,ATUN,,,110,,,,,150,112,214.15,405,,198.23
Industrial,1990,COLA,,45,55.2,35,,,,,,,40,,43.8
Industrial,1990,ESPADA,,,,,,,,,,534,,,534
Industrial,1990,ATUN,41.11,22.3,36.79,41.13,,,,,,41.23,,,36.51
Industrial,1990,MERO,,,29.25,,,,100,101.7,,120,,,87.74
Industrial,1990,CALAMAR,,,150,270,,,,,,100,,,173.33
Industrial,1990,ANGUILA,,13.3,,,,,,50,,,,,31.65
Industrial,1990,PALOMETA,,,,,,,20,,,,,,20
Industrial,1990,P. DIENTON,,,,,,100.75,,,,,,,100.75
Industrial,1990,CORVINA,,,,,159.85,,,,,,,,159.85
Industrial,1990,COR COLIAM,,115,,,125,,,,,,,,120
Industrial,1990,SIERRA,,,,,60,,,,,,,,60
Industrial,1990,ATUN,41.11,,41.14,,41.11,,,,,,,,41.12
Industrial,1990,CAMBUTE,,,156,,,,,,,,,,156
Industrial,1990,CAM. BLCO,900,893,946,1058,1161,1200,,1204,1064,1069,1068,1006,1051.73
Industrial,1990,CAM. CAFE,646,700,837,815,1012,1120,,,1034,1025,663,810,866.2
Industrial,1990,CAM. TITI,250,198,239,268,250,161,,163,162,209,191,167,205.27
Industrial,1990,CAM. ROSAD,385,318,344,315,316,310,340,340,411,350,355,306,340.83
Industrial,1990,CAM. FIDEL,250,263,300,220,263,217,270,255,301,305,220,280,262
Industrial,1990,CAM. CAMELLO,44,48,36,66,110,102,128,120,118,135,129,156,99.33
Industrial,1990,CAM. REAL,20.25,26.45,26.45,26.55,26.45,26.45,26.45,33,33,33,35,33,28.84
Artesanal,1991,PRIMERA GDE.,243,235,277.04,199.96,183.17,173.14,160.43,154.46,187.64,205.11,211.45,213.02,203.61
Artesanal,1991,PRIMERA PEG.,224,239,226.44,194.44,133.61,116.02,128.88,139.52,161.43,168.15,218.01,181.75,177.63
Artesanal,1991,CLASIFICADO,83,83,79.16,65.01,81.24,55.8,63.97,58.97,64.88,68.57,73.76,62.05,69.92
Artesanal,1991,CHATARRA,41,43,48.24,35.39,33.23,27.38,33.62,37,31.76,37.86,52.5,73.28,41.17
Artesanal,1991,AGRIA COLA,157,143,155.27,157.05,129.13,138.85,151.76,132.79,132.75,129.88,169.67,143.15,145.04
Artesanal,1991,CABRILLA,281,216,246.67,250.09,187.27,211.64,202.15,240.75,271.53,282.28,342.87,246.84,248.28
Artesanal,1991,PARGO SEDA,261,297,330.2,335.01,175.79,138.82,157.24,196.29,227.79,261.94,278.95,198.22,238.19
Artesanal,1991,DORADO,144,160,140.74,192.92,352.21,284.89,374.96,391.58,282.72,346.23,130.25,131.44,244.36
Artesanal,1991,FILET,267,200,100,70,183.39,,,,150,,,150,160.09
Artesanal,1991,PEZ ESPADA,717,807,612.61,482.06,546.76,619.11,757,726.37,596.52,803.9,952.73,188.28,650.7
Artesanal,1991,SARDINA,32,31,31.49,37.12,40.27,41.72,38.81,37.22,37.36,35.34,35.46,42.61,36.68
Artesanal,1991,ATUN,330,375,423.48,426.02,486.73,366.15,371.15,366.56,379.37,396.44,425.35,500,403.9
Artesanal,1991,CAZON,94,104,107.54,47.85,44.07,30.29,53.9,43.64,56.66,62.13,66.89,66.59,64.77
Artesanal,1991,POSTA,95,102,103.8,79.02,88.19,84.71,77.32,77.71,72.22,74.73,67.31,66.4,82.34
Artesanal,1991,ALETA,338,306,367.59,259.45,245.48,603.68,433.66,413.69,414,469.18,724.31,861.09,453.05
Artesanal,1991,MACO,100,112,109.41,108.35,83.63,104.27,88.68,96.55,98.77,106.04,97,102.8,100.61
Artesanal,1991,BUCHE,120,121,131.89,127.57,110.57,141.27,85.81,107.81,130.51,133.49,162.33,140.19,126.05
Artesanal,1991,CAMARON BLCO,1071,1127,1376.56,1521.04,1900,1000,1584.97,1735.73,1820.78,1648.35,1580.68,1496.34,1488.54
Artesanal,1991,CAMARON CAFE,0,0,0,0,0,0,0,0,0,0,0,0,0
Artesanal,1991,CAMARON ROSADO,0,0,0,0,0,0,0,0,0,0,0,0,0
Artesanal,1991,CAMARON FIDEL,0,0,0,0,0,0,0,0,0,0,0,0,0
Artesanal,1991,CAMARON CAMELLO,0,0,0,0,0,0,0,0,0,0,0,0,0
Artesanal,1991,CAMARON REAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Artesanal,1991,CAMARON TITI,,,,,450,330,330,,300,269.28,252.17,310.26,320.24
Artesanal,1991,LANG. CORRIENTE,1150,1225,1292.23,825.02,1425.03,1606.68,1635.25,1644.84,1775.35,1250.86,1751.86,1150.46,1394.43
Artesanal,1991,LANGOSTA CARIBE,789,0,0,0,0,0,0,0,0,0,0,0,0
Artesanal,1991,CALAMAR,44,66,66.05,49.76,52.39,42.59,46.69,49.11,50.16,60.94,89.21,103.03,60.05
Artesanal,1991,PULPO,357,414,451.7,354.32,202.6,153.34,163.97,175.2,179.21,217.62,281.67,274.35,268.78
Artesanal,1991,PIANGUAS,287,280,242.85,276.83,211.89,210.84,132.12,210.63,80.6,100,135,225.82,199.49
Artesanal,1991,CAMBUTE,,,,,,,,,185,250,250,300,246.25
Artesanal,1992,PRIMERA GDE.,221.37,237.72,277.22,287.92,246.1,320.84,297.55,282.34,264.67,297.58,319.63,332.19,282.09
Artesanal,1992,PRIMERA PEQ.,201.78,234.63,270.3,293.45,189.36,214.14,226.05,244.01,264.27,233.33,261.28,271.06,241.97
Artesanal,1992,CLASIFICADO,74,89.9,129.72,138.46,87.89,126.35,162.33,145.9,154.67,193.89,210.57,170.89,140.38
Artesanal,1992,CHATARRA,66.94,67.8,146.16,97.81,45.27,55.18,56.81,81.65,106.6,109.75,94.82,92.62,85.12
Artesanal,1992,AGRIA COLA,155.88,165.16,162.39,164.88,146.03,171.28,178.83,131.14,162,168.95,179.41,158.29,162.02
Artesanal,1992,CABRILLA,284.48,344.09,383.46,321.29,285.57,230.01,248.79,324,333.32,384.39,386.82,344.89,322.59
Artesanal,1992,PARGO SEDA,285.74,333.04,369.58,356.88,195.11,212.58,214.41,287.44,323.33,274.93,263.33,292.99,284.11
Artesanal,1992,DORADO,129.12,181.82,343.74,448.96,302.38,371.67,515.78,519.49,540.54,585.06,406.12,227.37,381
Artesanal,1992,MARLIN BLCO.,192.59,268.94,463.57,434.65,321.4,285.51,248.22,361.06,385.23,336.34,211.34,224.26,311.09
Artesanal,1992,MARLIN ROS.,129.29,178.39,379.01,253.51,180.8,190.17,144.5,170.52,200.02,186.32,144.22,102.4,188.26
Artesanal,1992,TREACHER,116.9,125.12,193.63,149.22,72.74,68.1,66.38,85.76,103.9,91.5,70.94,77,101.77
Artesanal,1992,PEZ VELA,,,,,,,,,,,,,
Artesanal,1992,PEZ ESPADA,1052.03,732.27,276.67,264.51,160.06,482.86,339.97,279.51,303,279.32,234.55,184.93,382.47
Artesanal,1992,TOT PESC EVIS (1),,,,,,,,,,,,,
Artesanal,1992,SARDINA,38.14,35.63,49.32,37.98,113.91,143.75,50,61.1,50.21,54.09,85.89,54.46,64.54
Artesanal,1992,ATUN,496.91,377.68,322.02,374.1,359.46,361.29,447.26,491.26,533.29,379.32,302.65,389.07,402.86
Artesanal,1992,TOT PELAGICOS (2),,,,,,,,,,,,,
Artesanal,1992,CAZON,83.51,87.79,130.95,114.3,52.1,52.14,66.69,77.96,122.6,127.97,98.42,111.25,93.81
Artesanal,1992,POSTA,197.2,80,129.9,101.38,61.33,51.98,52.57,60.27,108.82,98.97,71.33,83.54,91.44
Artesanal,1992,MACO,103.38,124.85,142.14,164.29,83.61,66.36,82.03,91.29,105.07,114.16,74.38,91.29,103.57
Artesanal,1992,TOTAL TIBURON (3),,,,,,,,,,,,,
Artesanal,1992,A. PESCADOS (1+2+3),,,,,,,,,,,,,
Artesanal,1992,CAMARON BLCO.,1422.11,1409.38,1538.11,1660.82,,,1742.86,1834.53,1642.82,1688.91,1712.94,1633.36,1628.58
Artesanal,1992,CAMARON CAFE,,,,,,,,,,,,,
Artesanal,1992,CAMARON ROSADO,,,,,,,,,,,,,
Artesanal,1992,CAMARON FIDEL,,,,,,,,,,,,,
Artesanal,1992,CAMARON CAMELLO,,,,,,,,,,,,,
Artesanal,1992,CAMARON REAL,,,,,,,,,,,,,
Artesanal,1992,CAMARON TITI,381.45,600.36,,350,,,400,387.5,350,375,475.89,,415.03
Artesanal,1992,TOT CAMARON   (4),,,,,,,,,,,,,
Artesanal,1992,LANG PACIFICA (CTE),1178.74,1182.22,1095.22,2150.36,1368.24,2354.42,1530.96,2002.73,1921.76,2183.97,2124.78,1649.79,1728.6
Artesanal,1992,LANG CARIBE,,,,,,,,,,,,,
Artesanal,1992,TOT LANGOSTA  (5),,,,,,,,,,,,,
Artesanal,1992,CALAMAR,81.67,196.12,155.89,129.85,124.04,154.36,190.36,199.42,257.97,270.74,232.07,236.59,185.76
Artesanal,1992,PULPO,404.85,458.69,612.39,659.4,276.86,377.54,247.89,256.13,375.82,511.25,594.47,649.58,452.07
Artesanal,1992,PIANGUAS,14.17,254.19,259.21,259.21,291.61,253.02,268.14,286.47,566.48,276.52,327.1,328.15,282.02
Artesanal,1992,CAMBUTE,90.55,384.13,,,,,,271.43,200,300,,,249.22
Artesanal,1992,TOT MOLUSCOS  (6)*,,,,,,,,,,,,,
Artesanal,1992,B. TOT MARISCOS (4+5+6),,,,,,,,,,,,,
Artesanal,1992,ALETA TIBURON,2882.71,1428.05,3413.22,2328.03,1865.1,2575.19,2817.88,2931.25,420.63,290.57,453.83,972.27,1864.89
